name,sex,total
אסמרו,F,78
אמטאנס,M,78
בראהים,M,78
קותר,F,78
יהלה,F,78
מוטיע,M,78
ירונה,F,78
אוון,M,78
דסאלין,M,78
צחית,F,78
סטוטאו,M,78
זולטן,M,78
הדס,M,78
נאטלי,F,78
רחמיאל,M,78
צ'קולה,F,78
פטין,M,78
בשרא,F,78
זאהרה,F,78
רזל,F,78
רהב,F,78
עדילה,F,78
נורברטו,M,78
רבין,M,78
איננה,F,78
דינור,F,78
עונג,F,78
מארלין,F,78
סיטוטאו,M,78
סמארה,F,78
קרמל,F,78
וודחה,F,78
אבינדב,M,77
יונאן,M,77
אסרס,F,77
צרי,F,77
אמרי,F,77
אלרון,M,77
שי-יה,F,77
זוהריה,F,77
אדלין,F,77
בוורלי,F,77
סביאטוסלב,M,77
גוהרה,F,77
מוכרם,F,77
סערל,F,77
ריה,F,77
אהרונה,F,77
איליאס,M,77
רושל,F,77
ינטה,F,77
שארל,M,77
יאשיהו,M,77
מונג'ד,M,77
איוואן,M,77
אנרי,M,77
נוף,M,77
גאשאו,M,77
מזיד,M,77
מליקה,F,77
יהוסף,M,77
גיה,F,77
צבחה,F,77
שיפה,F,77
מאיסון,F,77
מדלנה,F,77
פראג',M,77
גלן,M,77
אליאם,M,77
לבן,M,76
טיבריו,M,76
חשן,F,76
אלראי,M,76
ולד,M,76
תרז,F,76
טוב,F,76
גילאור,M,76
שבח,M,76
אלמס,F,76
ג'וזייף,M,76
ברהאן,M,76
רודא,F,76
איטן,M,76
קרימה,F,76
מתקאל,M,76
גרסיה,F,76
מי,F,76
אנדרה,F,76
מסלם,M,76
גריס,M,76
פרננדה,F,76
זנבו,F,76
יאלי,F,75
ליבר,M,75
רבעה,F,75
פטימה,F,75
רנאל,F,75
אמרץ',F,75
נוב,F,75
קנדיס,F,75
רג'ב,M,75
הרשל,M,75
ג'קוב,M,75
נוסייבה,F,75
לומא,F,75
לוקמאן,M,75
איון,M,75
נקדם,F,75
טרי,M,75
ג'ונה,F,75
נגווא,F,75
לי-אור,M,75
מלה,F,75
רוזמרי,F,75
איוט,F,75
הנריך,M,75
מלקאמו,M,75
יקרת,F,75
רנן,F,75
טבע,M,74
אלישר,M,74
איילי,F,74
קיטי,F,74
יחיה,M,74
ג'וליית,F,74
גרישה,M,74
שטרנה,F,74
ילי,F,74
תמנה,F,74
נדרה,F,74
קפאח,F,74
אכאבר,F,74
גוסלין,F,74
נאירה,F,74
תלא,F,74
באדי,M,74
יוניס,M,74
איליאן,F,74
סמהר,F,74
אשכר,F,74
ג'ורג'ינה,F,74
ישר,M,74
ערביה,F,74
אנליה,F,74
סאיל,M,74
אופליה,F,74
אלפרדו,M,74
תקי,M,74
קמרן,M,74
צופנת,F,74
ניקולה,M,74
ברנדון,M,74
נזאם,M,74
ראאפת,M,74
אבתהאג',F,74
איווה,F,74
רהאף,F,74
רוזן,F,73
דידי,M,73
צוריה,M,73
שאדייה,F,73
שמעונה,F,73
רייזיל,F,73
סאלים,M,73
בלאיינש,F,73
תרא,F,73
אליא,M,73
ח'וולה,F,73
נביהא,F,73
רוסיל,F,73
שימעון,M,73
סוסאן,F,73
פישל,M,73
רגאאי,M,73
נתניה,F,73
טיגסט,F,73
שלדון,M,73
ציאלה,F,73
יאמין,M,73
מונעם,M,73
ג'אזי,M,73
פרימה,F,73
אידריס,M,73
ריתה,F,73
לייא,F,73
ראגי,M,73
בריהאן,F,73
לוז,F,73
תנחום,M,73
כפאח,M,73
רוחה,F,73
סטפאני,F,73
ינקו,M,73
ג'מאנה,F,73
אלינורה,F,73
שרלס,M,73
ג'ידאא,F,72
מנאר,M,72
מיכלי,F,72
סעדייה,F,72
פימה,M,72
רוסנה,F,72
גואל,F,72
פיאנה,F,72
אייסם,M,72
ויטו,M,72
מורי,F,72
גואנא,F,72
פעסי,F,72
דלל,F,72
בושמת,F,72
נגב,F,72
גביאנש,F,72
ווסאל,F,72
הרווה,M,72
מאורו,M,72
סיג'וד,F,72
ג'רלדין,F,72
חודייפה,M,72
נידל,M,72
ראפי,M,72
לירוז,F,72
מדיאן,M,72
מולי,M,72
מוסיא,F,72
רוג'יה,M,72
מחמד,M,71
אסמרה,F,71
אלאורי,M,71
מעזוזה,F,71
פרנסואה,M,71
ג'ולייטה,F,71
כיואן,M,71
פתחיה,M,71
אללין,M,71
טורי,F,71
ג'ורדנה,F,71
טורפה,F,71
נעאם,F,71
מקה,F,71
אריא,F,71
ג'אקלין,F,71
סנאית,F,71
ונדה,F,71
יסרא,F,71
ראהף,F,71
אדי,F,71
אימבר,F,71
נמיר,M,71
העני,F,71
עינן,M,71
ג'אלב,M,71
עזי,M,71
מארינה,F,71
יודפת,F,71
נורמאן,F,71
דונלד,M,71
פליפה,M,71
חלף,M,71
לו,F,71
מארין,F,71
רושדיה,F,71
וורטאו,M,71
בסימה,F,71
אסמר,M,71
נטאליה,F,71
אשרקת,F,70
ננולי,F,70
אשרית,F,70
תמאדר,F,70
טייבה,F,70
שיאון,M,70
שבי,F,70
שחרית,F,70
נלסון,M,70
צרלי,M,70
פטרו,M,70
לביא,F,70
אגת,F,70
אלבה,F,70
מטאנס,M,70
נהיד,F,70
שמחוני,M,70
כלילה,F,70
ענדליב,F,70
יורה,M,70
הידאיה,F,70
יורן,M,70
לוג'אין,F,70
ניסל,F,70
חיימה,M,70
גברה,M,70
הנה,F,70
דוידה,F,70
רוביר,M,70
ודיאן,F,70
מברטו,M,70
רזיה,F,70
נרג'יס,F,70
ג'אן,F,70
איזאר,M,70
נאג'ח,M,70
אנתוני,M,70
קרם,M,70
זהאנה,F,70
לסלו,M,70
טאריק,M,70
רפעה,F,70
וירג'יני,F,69
תורכי,M,69
ונדי,F,69
תריא,F,69
ג'יימי,M,69
נועמי,F,69
נוהר,M,69
נישאן,M,69
ריצארד,M,69
יון,M,69
רייצל,F,69
הדרי,F,69
ארנית,F,69
גוזפין,F,69
ג'וי,M,69
ברקאת,M,69
אלנור,M,69
דאלין,F,69
מאיסא,F,69
ברנו,F,69
מאלאק,F,69
טירנה,F,69
נסיף,M,69
מלחז,M,69
האבטאם,F,69
טאלה,F,69
מיקול,F,69
קנז,F,69
קסאו,M,69
אספירה,F,69
תאה,F,69
טלין,F,69
ארון,M,69
ראיאן,M,69
כארמן,F,69
צבר,M,69
נהיה,F,69
ליבנה,M,69
הית'ם,M,69
אסטבן,M,69
רנדי,F,69
הירש,M,69
צהיי,F,69
ליעם,F,69
רומה,F,69
ראווי,M,69
פכרי,M,69
ישיוורק,F,69
אייבי,F,69
חיתם,F,69
סח'ר,M,68
גויס,F,68
לוריא,F,68
סבח,M,68
נעכא,F,68
רויאל,F,68
צ'ארלס,M,68
מנגיסטו,M,68
טקלה,F,68
מארו,M,68
איזה,F,68
אנדראוס,M,68
מאילי,F,68
קלודט,F,68
בונים,M,68
זבידה,F,68
שהין,M,68
ליו,F,68
שבל,M,68
סילואן,F,68
חאתמה,F,68
אקסל,M,68
רמזייה,F,68
הושע,M,68
בריינה,F,68
פגי,F,68
חילוד,F,68
מונאי,F,68
מריטו,F,68
רנאא,F,68
פאולין,F,68
דובב,M,68
קארים,M,68
באשא,F,68
אשחר,F,68
קייטי,F,68
עזה,F,67
נובה,F,67
טויבי,F,67
אזדיהאר,F,67
אולי,F,67
שלי,M,67
נג'יבה,F,67
סלחה,F,67
פייגע,F,67
שראל,F,67
האדיל,F,67
ויג'דאן,F,67
לואה,F,67
ריאל,M,67
גביינש,F,67
מוחלס,M,67
ניבל,F,67
תומי,F,67
אסיד,M,67
היוט,F,67
לואיסה,F,67
סיניאל,F,67
פוריה,F,67
ליענה,F,67
מייסלון,F,67
אינור,F,67
אוהב,F,67
הוורד,M,67
רוואד,M,67
גקי,M,67
נגייה,F,67
יוג'ין,M,67
רייאן,F,67
ג'יסון,M,67
ממיט,F,67
ראין,M,67
תאו,M,67
קארמן,F,67
פיקדו,M,67
גוטא,F,67
תוקה,F,67
ענאת,F,67
רמז,M,67
גלאור,F,66
פאיד,M,66
גרייס,M,66
היימן,M,66
שונמית,F,66
הנרייט,F,66
קנת,M,66
יהלומית,F,66
מפלח,M,66
סמוד,F,66
שמש,F,66
עתיר,M,66
גרשום,M,66
מותנא,M,66
טנה,F,66
סלי,M,66
מושיק,M,66
מצטפא,M,66
טיבור,M,66
ריסה,F,66
אירקלי,M,66
אייבי,M,66
מגדלין,F,66
סאמרה,F,66
פדווה,F,66
אנייס,F,66
נארימן,F,66
לסלי,M,66
דנייל,M,66
וורקנך,M,66
זינדין,M,66
פיונה,F,66
קאוסר,F,66
אבגיל,F,66
גלנה,F,66
מייסם,M,66
עזייה,F,66
מנוור,F,66
חרביה,F,66
כחל,F,66
ג'בל,M,66
מדיין,M,66
פחריה,F,65
חלווה,F,65
רינתיה,F,65
רומא,F,65
מוריץ,M,65
ארול,M,65
זהידה,F,65
נגסט,F,65
עוטרה,F,65
ברניס,F,65
מאג'די,M,65
איליאנה,F,65
אנדריו,M,65
רולין,F,65
ווביט,F,65
רוויה,F,65
טראד,M,65
ראוויה,F,65
ג'ייק,M,65
אסנקו,F,65
דורגאם,M,65
ישי,F,65
גאנא,F,65
אנוש,M,65
וג'יהא,F,65
לוטפייה,F,65
טשארנא,F,65
היסם,M,65
רוחלה,F,65
אדיטה,F,65
בהג'ת,M,65
אליס,M,65
לי-שי,M,65
נוארה,F,65
שהד,M,65
אמואג',F,64
כנדה,F,64
קרן,M,64
מאיי,F,64
ברקה,F,64
ורברה,F,64
אדיר,F,64
עומרית,F,64
ג'ויה,F,64
טטינה,F,64
ופיה,F,64
דלה,F,64
שמר,M,64
אנדי,F,64
הרברט,M,64
ירושה,F,64
עיידה,F,64
סמסון,M,64
לאמאר,F,64
נטף,F,64
מל,F,64
נועמאן,M,64
דואה,F,64
סלח,M,64
אלאור,F,64
מועז,M,64
מלנה,F,64
מאריטו,F,64
דגיטו,F,64
פלביה,F,64
רומה,M,64
מהנז,F,64
ישארג,F,64
אולפאת,F,64
מיקאל,M,64
אימבט,F,64
אשלי,M,64
בלימי,F,63
אושריאל,M,63
חוליאן,M,63
שאן,M,63
טאדילה,F,63
מרם,F,63
אורייאן,F,63
נחה,F,63
בר-אל,M,63
בר אל,M,63
יאמאן,M,63
מוזנה,F,63
שוני,M,63
יבגניי,M,63
מרגוט,F,63
ירושלים,F,63
ג'אנת,F,63
סימו,M,63
גיית',M,63
יוהאן,M,63
יוהד,M,63
אלמנך,M,63
חמי,M,63
ג'ונס,M,63
זינאב,F,63
דאן,M,63
סאקר,M,63
ליאונה,F,63
בוריסלב,M,63
קותיבה,M,63
חלאס,F,62
הייאם,F,62
מונאיא,F,62
יאלי,M,62
אזמרה,F,62
תיאם,M,62
גאקלין,F,62
מולהם,M,62
מריטה,F,62
ברוג',F,62
זאכי,M,62
סבלי,M,62
נופל,M,62
אוסאף,F,62
ג'מל,M,62
מישי,M,62
סהראב,F,62
בראל,F,62
איזיס,F,62
ברהן,M,62
נסם,F,62
נצנת,F,62
רוס,M,62
אניק,F,62
אדיס,M,62
סחר,M,62
בירן,M,62
טרויה,F,62
איבגני,M,62
לינט,F,62
אלטייב,M,62
בללה,F,62
בלטו,F,62
פטרישיה,F,62
מוראל,M,62
לוסיאן,F,62
רולן,M,62
פג'ר,M,62
שארלי,M,62
טנא,M,62
מתעב,M,62
נאדי,M,62
אלטה,F,62
רודריגו,M,62
נואית,F,62
טיימורז,M,62
גן,M,62
מאדלין,F,62
לאונל,M,62
גאדיר,F,62
קארולין,F,62
גת,F,62
רבקי,F,62
ווגדאן,F,62
סאוסאן,F,62
אליעם,M,62
מאוריציו,M,61
נסראת,M,61
לאונור,F,61
אנג'ל,M,61
יובב,M,61
שהין,F,61
עבדלרחמן,M,61
ארווין,M,61
אגנטה,F,61
גפנית,F,61
תלג'ה,F,61
אניל,F,61
אניס,F,61
אנטואנט,F,61
נג'ואה,F,61
שימחה,F,61
ג'וויל,F,61
רגיד,M,61
לירוי,F,61
סאשה,F,61
פיצל,M,61
קיפאח,F,61
מיראי,F,61
אסתל,F,61
אדים,F,61
גאית',M,61
לויזה,F,61
גטצ'או,M,61
מרית,F,61
טירו,F,61
רמא,F,61
אומר,M,61
צלה,F,61
פרדאוס,F,61
טספה,M,61
אסטר,F,61
סעאדה,M,61
מעאז,M,61
מסרט,M,61
לואאי,M,61
כאתרין,F,61
אליעוז,M,61
טועמה,M,61
גידו,M,61
לאורנס,M,60
עמיה,F,60
הרווי,M,60
חסנאא,F,60
דדה,M,60
קאדר,F,60
מאירי,M,60
סאמח,F,60
פהדה,F,60
גורגית,F,60
גולין,F,60
רוסילה,F,60
ונרה,F,60
פניאל,M,60
אייבק,M,60
אנאנה,F,60
יאשה,M,60
מגדלנה,F,60
ג'אסם,M,60
טלמור,F,60
חתונה,F,60
סומאיה,F,60
רודין,F,60
אסאיל,F,60
נתליה,F,60
פרנוס,F,60
טשומה,M,60
חי,F,60
ג'רר,M,60
טאה,M,60
פלינה,F,60
לוק,M,60
מטויי,M,60
צלילה,F,60
אסעיד,M,60
רצון,M,60
צאבר,M,60
נוראל,F,60
מושיקו,M,60
דסש,F,60
מימנה,F,60
רלה,F,60
בבר,M,60
אתאל,F,60
טגבו,M,60
חיכמת,M,60
סידני,F,60
חלאד,M,60
סיאל,M,60
אגנסה,F,60
אושיק,M,60
ניסו,M,60
צהלי,F,60
גדית,F,60
ראפאת,M,60
כרימאן,F,60
ראליה,F,60
ראנא,F,60
מנת,F,60
אליף,M,59
רחמן,M,59
ולדי,M,59
זמנאי,F,59
מאהא,F,59
אלנרה,F,59
ברנה,F,59
עבודי,M,59
איבי,F,59
אלדנה,F,59
ראאף,M,59
שדאד,M,59
יאסו,M,59
מויסס,M,59
מוטלק,M,59
רובר,M,59
עבדאלעזיז,M,59
אדגרדו,M,59
רוקסן,F,59
מונתצר,M,59
טוד,M,59
להבה,F,59
פירחה,F,59
זוסלין,F,59
עמל,F,59
טרו,F,59
בילהה,F,59
אטואל,F,59
שחם,M,59
אסמהן,F,59
אשגרו,F,59
ליאונרד,M,59
אבתהאג,F,59
אחי,M,59
לי-און,M,59
ניאו,M,59
אנגליקה,F,59
אדוניה,M,59
כארולין,F,59
עדנן,M,59
שהרם,M,59
אלקן,M,59
אורחן,M,59
נייל,F,59
בהרם,M,59
אסתרה,F,59
רוזאנה,F,59
אור-חיים,M,59
גביאו,M,59
אליו,M,59
נסים,F,59
ארטם,M,59
ניתן,M,59
ולדמיר,M,59
אלנית,F,58
אלבראא,M,58
עבוד,M,58
אבישר,M,58
ראזל,F,58
רוזלינד,F,58
אנדלוס,F,58
קרני,M,58
אל-חי,M,58
נואה,F,58
רופאן,F,58
דותן,F,58
אומיד,M,58
נאלה,F,58
מוהנאד,M,58
מבל,F,58
דגן,F,58
מובין,M,58
סאג'א,F,58
קנו,F,58
כינדה,F,58
דאני,M,58
ארזו,F,58
עדיר,F,58
זמנו,M,58
אליקה,F,58
פריהאן,F,58
עינא,F,58
חוזה,M,58
צאדק,M,58
גלאל,M,58
דינרה,F,58
אינתיסר,F,58
נפין,F,58
מרקיאל,M,58
סנטיאגו,M,58
מחסן,M,58
גנין,F,58
אילור,M,58
שגב,F,58
יטאייש,F,58
רוזינה,F,58
טובא,F,58
קרלי,F,58
מייסרה,M,58
כרמה,F,58
נדר,M,58
סרור,M,57
מיכלא,F,57
יראל,M,57
קטלינה,F,57
בלימא,F,57
נתנאל,F,57
דורותי,F,57
רופידה,F,57
סנה,F,57
נילה,F,57
עיאשה,F,57
דואא,F,57
סנאן,M,57
ג'ודי,M,57
סאפיה,F,57
נג'ד,M,57
פיקאדו,M,57
ז'אנטה,F,57
רימאא,F,57
בהיג',M,57
חאלא,F,57
זעילה,F,57
טעמא,F,57
אמיליו,M,57
זאודו,M,57
סיגוד,F,57
זולי,F,57
ג'וליאנא,F,57
כורש,M,57
אורטל,M,57
שפי,F,57
טאובה,F,57
אשוואק,F,57
לאנא,F,57
מרתא,F,57
סיליאן,F,57
לאריסה,F,57
כינדא,F,57
אירדה,F,57
גודת,M,57
טרפה,M,57
רן,F,57
פורים,F,57
יקות,F,57
אליאל,F,57
מרנה,F,57
קלואה,F,57
שארבל,M,57
לורל,F,57
בת אור,F,57
איכראם,F,57
אורפז,M,57
נסה,F,57
ברל,M,57
מייטא,F,57
פנטה,M,57
אברר,F,57
סלינא,F,57
אלאה,F,57
אינאל,M,57
קפאלה,M,56
האבטאמו,M,56
סאנדרא,F,56
רוז'ה,M,56
טומש,M,56
ארנו,M,56
לוטוף,M,56
יוספינה,F,56
פנדי,M,56
מיאור,F,56
אוסמן,M,56
שאפע,M,56
ווחיד,M,56
איאנא,F,56
סרוה,F,56
רומיו,M,56
יבה,F,56
סנדה,F,56
קאטי,F,56
אור חן,F,56
אמראת,F,56
קסנדרה,F,56
אסנקאו,M,56
טיפני,F,56
אנהר,F,56
אטיה,F,56
עציון,M,56
סינאן,M,56
ספואת,M,56
נורדין,M,56
תאר,M,56
קזאיה,F,56
גומנה,F,56
חבייר,M,56
חסד,M,56
נאוית,F,56
נאהיה,F,56
אמימה,F,56
מחפוז,M,56
פאעור,M,56
גיולנרה,F,56
ז'ולי,F,56
ארנן,M,56
עתאב,F,56
אביאלה,F,56
אסמאה,F,56
בלנקה,F,56
מלאקו,M,56
מקסימיליאנו,M,56
ביברס,M,56
אפראח,F,56
אדווין,M,56
עתר,F,55
רנטו,M,55
חיאה,F,55
מונייה,F,55
ג'וזיאן,F,55
לילאן,F,55
בוסיינה,F,55
תליה,F,55
יערי,F,55
וורה,F,55
פריח,M,55
למרה,F,55
ראבחה,F,55
ישמבל,M,55
מג'דה,F,55
מגאהד,M,55
רונק,F,55
גרציאלה,F,55
סאסי,M,55
אלכסיה,F,55
אוראלי,F,55
אלסנדרה,F,55
גורגיה,F,55
וסמיה,F,55
פלד,M,55
קסנש,F,55
ג'אוהרה,F,55
צובחי,M,55
רנט,M,55
טוביאס,M,55
מירוסלבה,F,55
זוריק,M,55
גוואהר,F,55
כלוד,F,55
לידי,F,55
ינקל,M,55
אנריקו,M,55
מוסה,M,55
ראג'ב,M,55
יטה,F,55
רודין,M,55
מלקם,F,55
ביילי,F,55
הג'ר,F,55
סדרה,F,55
ע'נא,F,55
מרדושי,M,55
תו,F,55
היסאם,M,55
ראגח,M,55
איילי,M,55
ג'וסף,M,55
אבתיהאג',F,55
בירהנו,M,55
אסאל,F,55
מוצעב,M,55
עאזם,M,55
אלוני,M,55
באסימה,F,55
וינסנט,M,55
יוטל,F,55
וסיליסה,F,55
סומוד,F,55
שאדיא,F,55
סועד,F,55
סוראיה,F,55
כריסתיאן,M,54
כרסתין,F,54
מנואל,F,54
מנוא,F,54
נאהידה,F,54
נילאי,F,54
וורקיה,F,54
איילן,F,54
זונדל,M,54
ג'יהד,M,54
אזקיאל,M,54
זהראן,M,54
טרב,F,54
לוטוס,F,54
אלידע,M,54
בגדאד,F,54
ח'ייר,F,54
עטיה,F,54
אבל,M,54
מוטיעה,F,54
דובה,F,54
קוה,M,54
וורקה,M,54
מינא,M,54
פגר,M,54
פג'ר,F,54
דרגאם,M,54
היליי,M,54
מולאט,M,54
אסנקה,F,54
ניגון,M,54
מי-טל,F,54
רנאן,M,54
אומאמה,F,54
פרנקו,M,54
ניצנית,F,54
מיילו,M,54
מזלי,F,54
נטיה,F,54
ליאוני,F,54
טילה,F,54
אדאל,F,54
יינון,M,54
מכה,F,54
רינאס,F,54
ענב,M,54
סולל,M,54
ליל,F,54
בלאי,M,54
אטרסאו,M,54
ויקה,F,54
מהבאו,M,54
טאריק,F,54
טגואדה,F,54
עאצם,M,54
עוזיה,M,54
יוליוס,M,54
נוין,F,54
ג'אניית,F,54
תרנים,F,54
אלעי,M,53
סאנדרה,F,53
מקואננט,M,53
עיתאב,F,53
אוליבייה,M,53
מהיוב,M,53
רובינה,F,53
ג'אזל,F,53
גבע,F,53
דלין,F,53
שבא,F,53
אליונורה,F,53
סקאי,F,53
סנדו,F,53
קמל,M,53
נשמה,F,53
מוקט,M,53
גאודת,M,53
טיבא,F,53
מורית,F,53
סייל,F,53
ריו,F,53
אורם,M,53
מלקאם,F,53
ז'אנט,F,53
יוחי,M,53
צברי,M,53
עדייה,F,53
ג'ואי,F,53
הדה,F,53
בונם,M,53
גיאנה,F,53
שדה,M,53
גרש,M,53
אזמראו,M,53
אנגל,F,53
קלונימוס,M,53
אחסאן,M,53
נראם,F,53
שיבלי,M,53
אביחיל,F,53
אווי,F,53
נזימה,F,53
פלורית,F,53
אלקיים,M,53
חיננית,F,53
מקדאד,M,53
יעגוב,M,53
חביבאללה,M,53
מוניף,M,53
רגאד,F,53
הדאיא,F,53
לאיו,M,53
הנדיה,F,53
מילאנא,F,52
אילון,F,52
שמריה,M,52
גאדי,M,52
מריקה,F,52
טני,F,52
רודינא,F,52
טספאי,M,52
ברכיה,M,52
מאינה,F,52
אסייה,F,52
בירקה,F,52
קאתרין,F,52
חיידר,M,52
איליף,F,52
כתרין,F,52
ראן,M,52
מסבאח,M,52
סט,M,52
כנאנה,F,52
פיחא,F,52
נסאים,F,52
ארין,M,52
מוסי,M,52
קארלוס,M,52
גניס,F,52
עפת,F,52
זזה,M,52
שפרינצה,F,52
ראונד,F,52
סריה,F,52
אסתריה,F,52
מטיו,M,52
דמיר,M,52
שחק,F,52
אליאנור,F,52
צלח,M,52
גטאצ'או,M,52
שריאל,F,52
מילאדה,F,52
פרלי,F,52
טשגר,M,52
חיראא,F,52
ווג'דאן,F,52
תדלה,F,52
רדוואן,M,52
אברש,F,52
בורוג',F,52
הילדא,F,52
לוזיאן,F,52
ז'וסלין,F,52
ישרג,F,52
רייא,F,52
שולם,M,52
קוציי,M,52
מארה,F,52
ארגיטו,F,52
ברנט,M,52
נג'אם,F,52
ואלרי,M,52
אבוסנט,F,52
מאייס,F,52
ממו,M,52
יולין,F,52
הואידה,F,51
אנדלאו,M,51
ולאד,M,51
מנדפרו,M,51
גורדון,M,51
אלמוגית,F,51
רואי,F,51
נג'ווה,F,51
אנג'וד,F,51
מדללה,F,51
סאשה,M,51
רגין,F,51
פלקה,M,51
בסנת,F,51
ווטן,F,51
ריטאג',F,51
יאסמינא,F,51
קארה,F,51
עייד,M,51
מוכתאר,M,51
זיגמונד,M,51
טאדסה,M,51
ג'ולית,F,51
טרפה,F,51
אייזק,M,51
רודאינה,F,51
חבסה,F,51
הנריאטה,F,51
נורן,F,51
טלאל,F,51
ליאון,F,51
פאולט,F,51
שיריי,F,51
מייגן,F,51
אנהאל,F,51
רמאדן,M,51
ג'קי,F,51
שילב,F,51
רזין,M,51
סוהל,M,51
בהרוז,M,51
רשדי,M,51
סוזט,F,51
לויה,F,51
שיינע,F,51
סטיין,M,51
לואא,M,51
עסמת,M,51
חכמאת,F,51
מיתה,F,51
ניסאן,M,51
עדילי,F,51
וליאם,M,51
דאלל,F,50
אבג'ה,M,50
טללית,F,50
ליאונרדו,M,50
מרשה,M,50
זמר,M,50
סורינה,F,50
בטסי,F,50
מאגי,F,50
טל-אור,F,50
גזאיה,F,50
פריזה,F,50
לי-היא,F,50
רנת,F,50
אלמועתסם,M,50
ארקן,F,50
כיתי,F,50
תות,F,50
אזאד,M,50
נבון,M,50
אימאם,M,50
צפי,F,50
מוחסנה,F,50
רובל,M,50
חאלדה,F,50
איתיה,F,50
שגאו,M,50
טג'ה,F,50
טשרנא,F,50
פטל,F,50
מינאלו,F,50
אטנש,F,50
קסיה,F,50
מולועלם,M,50
תהני,F,50
אנר,M,50
קמלה,F,50
קוסטה,M,50
נואה,M,50
איבגניה,F,50
פתחאללה,M,50
איבונה,F,50
ארגמן,M,50
פטרה,F,50
עאקף,M,50
גובראן,M,50
אדולפו,M,50
חבר,M,50
גיננדל,F,50
איזל,M,50
אנטואנית,F,50
ואפה,F,50
מפל,F,50
פרידי,F,50
שאשה,F,50
רוסודן,F,50
מאשא,F,50
טאליה,F,50
אניקה,F,50
הוברט,M,50
מנשיר,M,50
סורא,F,50
מנתאללה,F,50
נאפזה,F,50
עליז,F,50
דומיאנה,F,50
אוראן,F,49
ווסיהון,M,49
רויאל,M,49
מרצל,M,49
עבריה,F,49
מוייסר,F,49
מיראג',F,49
עיברי,M,49
ארמיאס,M,49
סיביל,F,49
קתי,F,49
פטריס,M,49
מורל,M,49
פאריס,M,49
חשמה,F,49
האניה,F,49
אמארה,M,49
ג'ן,M,49
מורשה,F,49
מייאס,M,49
מייאדה,F,49
מידן,F,49
שמרי,M,49
תמילה,F,49
פרג'י,M,49
סדיק,M,49
ליאו,F,49
קריינדל,F,49
רודני,M,49
שאוכת,M,49
תאנה,F,49
בת-עמי,F,49
פאסיקה,F,49
אנסאר,F,49
סני,M,49
רינאת,F,49
סכינה,F,49
הרמינה,F,49
בקלה,M,49
שולי,M,49
סטיפן,M,49
איבק,M,49
איבטה,F,49
שדיה,F,49
תו,M,49
ג'ורג'יה,F,49
גילרמו,M,49
דרסה,M,49
אזנאו,M,49
סלה,F,49
מלינדה,F,49
ינית,F,49
ג'די,M,49
ג'רד,M,49
אמאם,M,49
חוסין,F,49
ע'זל,F,49
אמסלו,M,49
עאיידה,F,49
גרלד,M,49
רודיאון,M,49
וובט,M,49
מגן,F,49
מילטון,M,49
ג'נית,F,48
זוהא,F,48
בורליאנט,F,48
מלניה,F,48
אוסאם,M,48
גוהינה,F,48
אברום,M,48
אדרה,F,48
רעד,F,48
גלה,M,48
אלחן,M,48
ולטר,M,48
פתיה,F,48
פארי,F,48
טמז,M,48
סברה,F,48
שפרינצא,F,48
כיפאח,M,48
ג'מס,M,48
דאן,F,48
טילי,F,48
פלורין,M,48
מריסול,F,48
בהיגה,F,48
אפתכאר,F,48
אמראל,F,48
פליציה,F,48
אסרה,F,48
קייל,M,48
נג'אח,M,48
רודא,M,48
ינאי,F,48
נעמית,F,48
וולדימיר,M,48
עמישב,M,48
עונג,M,48
יהוא,M,48
נצנט,F,48
שמעה,F,48
ליים,F,48
נינו,M,48
פריסילה,F,48
סיביה,F,48
שאם,M,48
פרדריך,M,48
גרג,M,48
עוז,F,48
נאנה,F,48
מירברי,F,48
דרה,F,48
חירי,M,48
חאבס,M,48
עטליה,F,48
ריחב,F,48
מנהאל,M,48
גוצ'ה,M,48
חסינה,F,47
יוטי,F,47
נדוא,F,47
נאפע,M,47
רופינה,F,47
חנינה,M,47
זלקה,M,47
ביוש,F,47
תמם,F,47
ראל,M,47
ז'אן,F,47
גברי,M,47
עטיאת,F,47
אתר,F,47
מהדייה,F,47
חכמה,F,47
רוניאל,M,47
ריבאל,M,47
מוניפה,F,47
סרקעלם,F,47
חאפד,M,47
תאיסיר,M,47
ראתיל,F,47
קולין,F,47
גננדל,F,47
שיראז,F,47
ואטן,F,47
אליהוא,M,47
מיסגנאו,M,47
עוואטף,F,47
ג'וליאט,F,47
מירנדה,F,47
חיכמת,F,47
מואמין,M,47
מודה,F,47
אמאר,F,47
פרדה,M,47
קאהר,M,47
הנדא,F,47
טנגיז,M,47
סבע,M,47
אבאי,M,47
נסי,F,47
אוסם,M,47
רווא,F,47
ראנים,F,47
כוכבא,F,47
סיינה,F,47
ריזא,F,47
נשוא,F,47
חוף,M,47
אג'וד,M,47
דוגלס,M,47
קול,M,47
אוצר,F,47
תיימה,F,47
כאתיא,F,47
ריילי,M,47
קאסאו,M,47
טרונש,F,47
מליק,M,47
אמון,F,47
ברקו,M,47
אורלב,M,47
דאבא,F,47
אלבי,F,47
בטיה,F,47
נג'ד,F,47
קלארה,F,47
ריתל,F,47
סטפאן,M,47
אסרף,M,47
מריאטה,F,47
הראלה,F,46
גידאא,M,46
ז'ניה,F,46
אלצ'ין,M,46
חארת,M,46
מיליסה,F,46
באוקט,M,46
פירס,M,46
מדליין,F,46
