name,sex,total
גפן,F,6497
יותם,M,6489
תום,M,6426
גילי,F,6422
ברק,M,6421
מג'ד,M,6402
היבא,F,6390
מונא,F,6342
ג'נא,F,6302
יפעת,F,6293
ניב,M,6291
רותם,M,6287
לירן,M,6275
דב,M,6260
עינת,F,6240
רז,M,6193
עוז,M,6179
רים,F,6161
פאדי,M,6135
סיגל,F,6125
גלי,F,6106
אימרי,M,6042
ליאורה,F,6014
נריה,M,6006
אמנה,F,5988
אסיל,F,5957
שי-לי,F,5938
יורי,M,5934
עביר,F,5927
יוכבד,F,5901
שירלי,F,5854
שלומית,F,5827
ג'מאל,M,5823
כרם,M,5786
חן,M,5779
אורה,F,5776
ראמי,M,5755
זוהר,M,5727
אושר,M,5725
אלאא,F,5723
סמדר,F,5692
יזן,M,5683
יהלי,M,5651
רום,M,5645
רינת,F,5620
ח'ליל,M,5616
שירי,F,5575
אהוד,M,5575
ויקטור,M,5573
חמזה,M,5559
אלמוג,M,5552
נאוה,F,5544
ניצן,F,5529
בניה,M,5522
אלינור,F,5513
שאדי,M,5493
אמירה,F,5473
בת אל,F,5463
סאמי,M,5460
עמנואל,M,5458
לילה,F,5433
וליד,M,5431
איליה,M,5415
אינה,F,5394
שהד,F,5383
שילת,F,5380
אירית,F,5370
ידידיה,M,5368
ליהי,F,5355
אבנר,M,5346
שלומי,M,5340
סרגיי,M,5329
נוה,M,5328
אתי,F,5327
אמיתי,M,5317
סארה,F,5271
שאם,F,5213
לוי,M,5209
אסנת,F,5208
אילנית,F,5203
חגי,M,5202
עמוס,M,5192
עימאד,M,5186
בלה,F,5165
אביב,F,5151
תמרה,F,5130
נבו,M,5126
יחיא,M,5124
יערה,F,5116
ניקול,F,5111
אביעד,M,5075
נאור,M,5058
רומן,M,5056
שילה,M,5028
שמחה,M,5006
מנאל,F,4996
אסמא,F,4982
אימאן,M,4975
אליאס,M,4972
גלינה,F,4956
כמאל,M,4949
אלונה,F,4936
רמי,M,4930
צביה,F,4896
רוי,M,4891
ירדן,M,4889
אוריה,M,4884
בלאל,M,4875
אלמה,F,4868
אביחי,M,4865
אודליה,F,4843
סתיו,F,4843
עזרא,M,4837
שקד,M,4836
פיגא,F,4815
עינב,F,4803
לירון,M,4797
אליאב,M,4789
דני,M,4769
סיגלית,F,4755
