name,sex,sector,total
קרל,M,Jewish,113
סלמי,F,Muslim,113
ג'אנא,F,Muslim,113
דלילה,F,Muslim,113
אדיס,F,Jewish,113
זהיה,F,Druze,113
ליובה,F,Jewish,113
זאהר,M,Druze,113
דסלין,M,Jewish,113
נאשד,M,Muslim,113
ראמא,F,Druze,113
ראניא,F,Muslim,113
אור אל,F,Jewish,113
מרוות,F,Christian-Arab,113
ג'ורג,M,Christian-Arab,113
ליאם,M,Christian-Arab,113
אסי,F,Jewish,113
הדיה,F,Druze,113
סובחי,M,Christian-Arab,113
ח'דר,M,Christian-Arab,113
נוזהה,F,Muslim,113
ורדה,F,Christian-Arab,113
לאור,F,Jewish,112
סלאם,F,Christian-Arab,112
רוזלי,F,Jewish,112
סוניה,F,Christian-Arab,112
שניר,F,Jewish,112
בדיעה,F,Druze,112
רתאג,F,Muslim,112
ארכאן,F,Muslim,112
דנה,F,Christian-Arab,112
מלוינה,F,Jewish,112
רוונד,F,Muslim,112
הלאל,M,Druze,112
סנין,F,Muslim,112
טולין,F,Muslim,112
ראידה,F,Druze,112
לורנס,M,Christian-Arab,112
פירוז,F,Christian-Arab,112
אלמאס,F,Muslim,112
אבראהים,M,Druze,112
מוסלח,M,Muslim,112
יוטה,F,Jewish,112
מריאלה,F,Jewish,111
לילי,F,Christian-Arab,111
מופלח,M,Muslim,111
ארנונה,F,Jewish,111
אדיק,M,Jewish,111
ענוד,F,Muslim,111
כיפאיה,F,Muslim,111
מיסרה,M,Muslim,111
ערב,M,Muslim,111
שלה,F,Jewish,111
ארוין,M,Jewish,111
חנינה,F,Jewish,111
מריל,F,Jewish,111
בדיעה,F,Christian-Arab,111
שדא,F,Christian-Arab,111
אלני,F,Jewish,111
הנריק,M,Jewish,111
היפא,F,Christian-Arab,111
ישועה,M,Jewish,111
צרויה,F,Jewish,110
רומיה,F,Jewish,110
טהר,M,Jewish,110
גוליה,F,Muslim,110
אסלאן,M,Muslim,110
ויקטוריה,F,Christian-Arab,110
מונד'ר,M,Christian-Arab,110
עבדו,M,Muslim,110
נהר,F,Jewish,110
נביה,M,Muslim,110
חייריה,F,Muslim,110
דובי,M,Jewish,110
ארווא,F,Muslim,110
מרגריט,F,Jewish,110
נידאל,M,Druze,110
נני,F,Jewish,110
קלקידן,F,Jewish,110
ג'לאל,M,Druze,110
בלן,F,Jewish,110
בן-אל,M,Jewish,110
ג'סטין,M,Jewish,110
גינת,F,Jewish,110
נאהדה,F,Druze,110
מנסור,M,Druze,110
ג'והינה,F,Muslim,109
איווט,F,Jewish,109
זן,M,Jewish,109
יונינה,F,Jewish,109
סיאף,M,Muslim,109
עזת,M,Muslim,109
איזדהאר,F,Muslim,109
ג'בר,M,Druze,109
גופראן,F,Muslim,109
קמליה,F,Jewish,109
עומייר,M,Muslim,109
מיליה,F,Jewish,109
מאזן,M,Christian-Arab,109
רותאג',F,Muslim,109
רואנד,F,Muslim,109
אסיל,F,Christian-Arab,109
בוראן,F,Muslim,109
רבי,M,Jewish,109
רמאס,F,Muslim,109
דייב,M,Jewish,109
לירום,M,Jewish,109
זייאד,M,Muslim,109
חמדת,F,Jewish,109
מלינה,F,Jewish,108
יהלום,M,Jewish,108
בברלי,F,Jewish,108
סואר,F,Christian-Arab,108
ויאצסלב,M,Jewish,108
אוריאל,F,Jewish,108
ג'יל,F,Jewish,108
אחלס,F,Muslim,108
פדרו,M,Jewish,108
טאיה,F,Jewish,108
קיסר,M,Muslim,108
ראואן,F,Muslim,108
נעמת,F,Muslim,108
גולנרה,F,Jewish,108
שורה,F,Jewish,108
נאג'י,M,Druze,108
אוליביה,M,Jewish,108
דסטאו,M,Jewish,108
פיי,F,Jewish,108
עוביידה,F,Muslim,108
לבנא,F,Muslim,108
בהגת,M,Muslim,108
מאטל,F,Jewish,108
גדיר,F,Druze,108
קתרין,F,Christian-Arab,108
לאיה,F,Jewish,108
מהדיה,F,Muslim,108
ארץ,F,Jewish,108
אלאן,M,Druze,108
ריהאן,F,Muslim,108
ספא,F,Christian-Arab,108
ליהן,F,Jewish,108
סוניא,F,Muslim,108
גילדה,F,Jewish,108
ג'וש,M,Jewish,108
האדיה,F,Muslim,107
מתת,F,Jewish,107
אתיה,F,Jewish,107
ג'ינה,F,Muslim,107
רפאיל,M,Jewish,107
ג'נא,F,Christian-Arab,107
איילין,M,Jewish,107
שלווה,M,Jewish,107
פאוזייה,F,Muslim,107
מיריי,F,Jewish,107
אנוור,M,Christian-Arab,107
פעסל,F,Jewish,107
נגלאא,F,Muslim,107
רוזית,F,Jewish,107
אנא,F,Jewish,107
סבטה,F,Jewish,107
רודיון,M,Jewish,107
גילברט,M,Jewish,107
עאטף,F,Druze,107
אוהב,M,Jewish,107
מוהאב,M,Muslim,107
אילן,M,Druze,107
פוראת,F,Muslim,107
אליאן,M,Jewish,107
בלאל,M,Druze,107
הדיר,F,Muslim,106
חסאן,M,Druze,106
אדליה,F,Jewish,106
לוריאן,F,Jewish,106
עודאי,M,Druze,106
ניסאן,F,Druze,106
קאיה,F,Jewish,106
שלווה,F,Jewish,106
רדה,F,Jewish,106
סוליקה,F,Jewish,106
עדאל,F,Jewish,106
פיליס,F,Jewish,106
עוזר,M,Jewish,106
תיריז,F,Christian-Arab,106
פדייה,F,Muslim,105
ניבין,F,Druze,105
פאוזי,M,Christian-Arab,105
פאדיה,F,Druze,105
ג'ול,M,Christian-Arab,105
עווני,M,Muslim,105
אטרי,F,Jewish,105
ברטוקן,F,Jewish,105
מרו,M,Jewish,105
אנקה,F,Jewish,105
אינתיסאר,F,Muslim,105
נזי,F,Jewish,105
כריסטין,F,Christian-Arab,105
נדא,F,Christian-Arab,105
נג'וה,F,Muslim,105
רייצא,F,Jewish,105
חמיסה,F,Muslim,105
בנצי,M,Jewish,105
אייאד,M,Muslim,105
וודה,F,Jewish,105
שפיקה,F,Druze,105
סופיה,F,Christian-Arab,105
ענבל,F,Druze,105
ריתאן,F,Muslim,105
גודי,F,Jewish,105
צ'רלי,M,Jewish,105
אווס,M,Druze,105
אלקסנדר,M,Jewish,105
קיאן,M,Muslim,105
דוברת,F,Jewish,105
עסלה,F,Muslim,105
כיאן,M,Druze,105
ואפי,M,Muslim,105
פסקל,M,Jewish,105
אברהם,M,Muslim,105
גוזיף,M,Christian-Arab,105
ראפת,M,Druze,105
מורשד,M,Muslim,105
אידו,M,Jewish,105
איילה,F,Christian-Arab,105
אברם,M,Jewish,105
לי-ים,M,Jewish,105
אבו,M,Muslim,105
סלטאן,M,Muslim,104
הולואגר,F,Jewish,104
ליחן,F,Jewish,104
ואפי,M,Druze,104
לאלי,F,Jewish,104
ניבאל,F,Christian-Arab,104
פאבל,M,Jewish,104
מיח'איל,M,Christian-Arab,104
מאג'ד,M,Christian-Arab,104
אניסה,F,Druze,104
עיפאף,F,Muslim,104
חאדר,M,Muslim,104
נחל,M,Jewish,104
גאלי,M,Muslim,104
עבדאלכרים,M,Muslim,104
סוריה,F,Muslim,104
צוק,M,Jewish,104
סטערנא,F,Jewish,104
מייסה,F,Muslim,104
רז,M,Druze,104
אנג'לינה,F,Jewish,104
ג'ירייס,M,Christian-Arab,104
פיליפ,M,Christian-Arab,104
נג'את,F,Druze,104
אביי,M,Jewish,104
אנדרי,M,Christian-Arab,104
פסיקה,F,Jewish,104
אור-לי,F,Jewish,104
ג'לילה,F,Muslim,104
ויטאלי,M,Jewish,104
ראון,F,Muslim,104
פבריס,M,Jewish,104
בוראק,M,Muslim,104
וורן,M,Jewish,103
בריהון,M,Jewish,103
חאלדיה,F,Muslim,103
טיטי,F,Jewish,103
סוריא,F,Muslim,103
פלגוש,F,Jewish,103
אור-אל,F,Jewish,103
פלורנסיה,F,Jewish,103
גמאנה,F,Muslim,103
נאיל,M,Christian-Arab,103
סילבינה,F,Jewish,103
שאדיה,F,Druze,103
ציפה,F,Jewish,103
ניקי,F,Jewish,103
אתגר,M,Jewish,103
מאלי,F,Jewish,103
ג'ויל,F,Christian-Arab,103
נוסיבה,F,Muslim,103
ריקל,F,Jewish,103
חלוה,F,Muslim,103
רימונד,M,Jewish,103
ליילה,F,Muslim,103
לי-יה,F,Jewish,103
דקר,M,Jewish,103
מסעודי,F,Jewish,103
אימאר,M,Druze,103
איוב,M,Christian-Arab,103
סאגר,M,Muslim,103
דוויט,M,Jewish,103
פדווא,F,Muslim,103
אנה,F,Muslim,103
אבידור,M,Jewish,103
ג'יל,M,Jewish,103
סופיא,F,Muslim,103
אמיל,M,Druze,102
אלידור,M,Jewish,102
נידאל,M,Christian-Arab,102
רוזין,F,Christian-Arab,102
עקל,M,Muslim,102
קרי,F,Jewish,102
סמה,F,Muslim,102
רנאן,F,Muslim,102
סהאד,F,Muslim,102
סהא,F,Muslim,102
רלף,M,Jewish,102
זרי,F,Jewish,102
מוסיה,F,Jewish,102
ח'זנה,F,Muslim,102
תאיר,M,Druze,102
סעדה,F,Jewish,102
מצדה,F,Jewish,102
פרנסיס,F,Jewish,102
סטיוארט,M,Jewish,102
רוסלין,F,Muslim,102
יעל,M,Jewish,102
רואה,F,Druze,102
גאזל,F,Muslim,102
רוני,M,Muslim,102
ורד,F,Druze,102
מייקי,M,Jewish,102
גולן,M,Muslim,102
גולן,M,Druze,102
לאפי,M,Muslim,102
אליעז,M,Jewish,102
הני,M,Muslim,102
רוסטם,M,Jewish,101
גוליאן,M,Christian-Arab,101
הנאדי,F,Druze,101
נזהה,F,Muslim,101
נזיה,M,Christian-Arab,101
בדרי,M,Jewish,101
אברו,F,Jewish,101
ג'זל,F,Druze,101
בלימה,F,Jewish,101
שיין,M,Jewish,101
ג'ולין,F,Muslim,101
תומאס,M,Christian-Arab,101
יאקוט,F,Muslim,101
ניבאל,F,Druze,101
לורא,F,Muslim,101
קרולין,F,Muslim,101
תולאי,F,Druze,101
עתניאל,M,Jewish,101
עזיז,M,Christian-Arab,101
תוגאן,F,Muslim,101
דרורי,M,Jewish,101
כפאייה,F,Muslim,101
זילפה,F,Jewish,101
גלא,F,Muslim,101
סוניה,F,Druze,101
פרחאת,M,Muslim,101
גלה,F,Jewish,101
אבתיסאם,F,Christian-Arab,101
ראויה,F,Druze,101
קולין,M,Jewish,101
ליא,F,Jewish,101
אספאו,M,Jewish,101
גיליה,F,Jewish,101
ארמון,M,Jewish,100
נל,F,Jewish,100
רמאח,M,Muslim,100
מריאנה,F,Druze,100
ג'מעה,M,Muslim,100
ג'נין,F,Jewish,100
ראנדה,F,Muslim,100
דראר,M,Muslim,100
קרול,F,Christian-Arab,100
אטלה,F,Jewish,100
נאיה,F,Christian-Arab,100
ארזה,F,Jewish,100
איסאק,M,Jewish,100
מדלן,F,Muslim,100
עמירן,M,Jewish,100
כוכב,M,Jewish,100
פלורינה,F,Jewish,100
אשרי,M,Jewish,100
לינדה,F,Druze,100
טאי,F,Jewish,100
שר,F,Jewish,100
קיאן,M,Druze,99
מינא,F,Druze,99
פרחאנה,F,Muslim,99
אגרנש,F,Jewish,99
לי-אל,F,Jewish,99
מתתיה,M,Jewish,99
סודקי,M,Muslim,99
מען,M,Muslim,99
ליהוא,M,Jewish,99
כמיליא,F,Muslim,99
עומיר,M,Muslim,99
והיב,M,Druze,99
עטוה,M,Muslim,99
פאיקה,F,Muslim,99
שיין,F,Jewish,99
יאסר,M,Druze,99
לי אל,F,Jewish,99
לואי,M,Jewish,99
אאוס,M,Muslim,99
נדיב,M,Jewish,99
ראיא,F,Muslim,99
לרי,M,Jewish,99
ראדי,M,Druze,99
גסיקה,F,Jewish,99
קאידה,F,Muslim,99
מוזיין,F,Muslim,99
ימאן,M,Druze,99
גאן,M,Jewish,99
זהורית,F,Jewish,99
אלמה,F,Druze,99
אדינה,F,Jewish,99
יוסף-חיים,M,Jewish,99
וידאד,F,Muslim,99
גוסון,F,Muslim,98
מנסורה,F,Muslim,98
נורסאן,F,Muslim,98
קלריסה,F,Jewish,98
אויס,M,Muslim,98
בסיה,F,Jewish,98
זנה,F,Jewish,98
לוסיאנה,F,Jewish,98
זיסי,F,Jewish,98
ג'יית,M,Muslim,98
מסעד,M,Muslim,98
מועתז,M,Druze,98
ניקי,M,Jewish,98
ראיק,M,Druze,98
אנזור,M,Jewish,98
סומא,F,Muslim,98
יוסר,F,Muslim,98
רפיף,F,Druze,98
מירוסלב,M,Jewish,98
רונאל,F,Jewish,98
מייטל,F,Jewish,98
אוליאנה,F,Jewish,98
בנו,M,Jewish,98
דיאר,F,Muslim,98
חסיבה,F,Jewish,98
עדנאן,M,Christian-Arab,98
ריטה,F,Muslim,98
אקבאל,F,Muslim,98
רם,M,Muslim,98
אילול,F,Druze,98
תבארק,F,Muslim,98
ג'ואל,F,Christian-Arab,97
ג'יליאן,F,Jewish,97
כרם,M,Christian-Arab,97
ראועה,F,Druze,97
ברט,M,Jewish,97
בלינדה,F,Jewish,97
דילן,F,Jewish,97
צהיינש,F,Jewish,97
בשיר,M,Druze,97
אילינא,F,Muslim,97
רקייה,F,Muslim,97
סלאם,F,Druze,97
עדל,M,Muslim,97
זוהור,F,Muslim,97
ציליה,F,Jewish,97
ויטוריו,M,Jewish,97
באביי,M,Jewish,97
אנג'לינה,F,Christian-Arab,97
גיריס,M,Christian-Arab,97
רזי,M,Jewish,97
סינה,F,Muslim,96
חאג'ה,F,Muslim,96
לאנדרו,M,Jewish,96
פרנסיס,M,Jewish,96
גולן,F,Jewish,96
קנאר,F,Muslim,96
המסה,F,Muslim,96
הלי,F,Jewish,96
סאאדה,F,Muslim,96
חרבי,M,Muslim,96
פרנסואז,F,Jewish,96
סאהרה,F,Muslim,96
מקסין,F,Jewish,96
אודיל,F,Jewish,96
רג'דה,F,Muslim,96
אעתידאל,F,Muslim,96
ג'יימי,F,Jewish,96
ליאם,M,Muslim,96
כרואן,F,Muslim,96
מיסא,F,Druze,96
שמי,M,Jewish,96
אליהב,M,Jewish,96
תובל,F,Jewish,96
אילף,F,Muslim,96
ג'ואי,M,Jewish,96
סלואן,F,Muslim,96
חוסנייה,F,Muslim,96
אבגניה,F,Jewish,95
סדאם,M,Muslim,95
נאגח,M,Muslim,95
חניאל,M,Jewish,95
וופא,M,Druze,95
פירוז,F,Druze,95
מרגרטה,F,Jewish,95
צביאל,M,Jewish,95
פווזי,M,Muslim,95
ראוי,M,Druze,95
מאי,F,Druze,95
סולנג,F,Jewish,95
אלחסן,M,Muslim,95
ג'אודת,M,Muslim,95
מילאן,F,Druze,95
מושירה,F,Muslim,95
נאיא,F,Druze,95
פלור,F,Jewish,95
טויבה,F,Jewish,95
אמין,M,Jewish,95
היווט,F,Jewish,95
אסראר,F,Muslim,95
נגואה,F,Muslim,95
מייסון,F,Christian-Arab,95
תיאודור,M,Jewish,95
רונזא,F,Muslim,95
ודיע,M,Druze,95
קוסאי,M,Druze,94
הנד,F,Druze,94
מקוננט,M,Jewish,94
רמזי,M,Druze,94
פאתינה,F,Muslim,94
דניאיל,M,Jewish,94
סבח,F,Muslim,94
רעם,M,Jewish,94
דאולת,F,Muslim,94
ביאטה,F,Jewish,94
גרמאו,M,Jewish,94
אבתיהאל,F,Muslim,94
ויטל,M,Jewish,94
לוריין,F,Jewish,94
אייסל,F,Muslim,94
סינין,F,Muslim,94
פדיל,M,Muslim,94
תייא,F,Muslim,94
אלחאן,F,Muslim,94
ראנה,F,Christian-Arab,94
יעד,M,Jewish,94
נאווה,F,Jewish,94
באשע,F,Jewish,94
אורייה,F,Jewish,94
נירי,F,Jewish,94
ראיסה,F,Muslim,94
רוזית,F,Christian-Arab,94
בט,F,Jewish,94
וסבולוד,M,Jewish,94
נוריה,F,Jewish,94
עאבד,M,Muslim,94
מוהנד,M,Druze,94
אוסאמא,M,Muslim,94
רוזאן,F,Druze,93
לואן,F,Jewish,93
ליה,F,Druze,93
מועאויה,M,Muslim,93
לארין,F,Christian-Arab,93
בתי,F,Jewish,93
פהד,M,Druze,93
נאסרה,F,Muslim,93
מאג'דה,F,Druze,93
אלדור,M,Jewish,93
רזאל,F,Muslim,93
נרימאן,F,Christian-Arab,93
איאל,M,Muslim,93
עטר,M,Jewish,93
רוסה,F,Jewish,93
הייא,F,Druze,93
הודא,F,Christian-Arab,93
ג'רי,M,Jewish,93
ראידה,F,Christian-Arab,93
צפרה,F,Jewish,93
זיידאן,M,Druze,93
למיאא,F,Muslim,93
נסי,M,Jewish,93
גורי,M,Jewish,93
גיאורגי,M,Jewish,93
אורנלה,F,Jewish,93
דרבה,M,Jewish,93
נטי,F,Jewish,92
אלדה,F,Jewish,92
קנדה,F,Muslim,92
מולט,M,Jewish,92
מלקה,F,Druze,92
הלא,F,Christian-Arab,92
מורדי,M,Jewish,92
מועמר,M,Muslim,92
אייד,M,Muslim,92
תייסיר,M,Druze,92
מילן,M,Jewish,92
תאיה,F,Jewish,92
זאודיטו,F,Jewish,92
אלין,M,Jewish,92
עילאי,F,Jewish,92
באשיר,M,Muslim,92
דעא,F,Muslim,92
אזהאר,F,Druze,92
איבתסאם,F,Christian-Arab,92
איואן,M,Druze,92
פלטיאל,M,Jewish,92
יחיא,M,Druze,92
תדהר,F,Jewish,92
מהרי,M,Jewish,92
בהירה,F,Jewish,92
מדלין,F,Druze,92
נזמייה,F,Muslim,92
פהים,M,Christian-Arab,92
שרל,F,Jewish,92
ז'ואל,F,Jewish,92
מנזר,M,Muslim,92
נופיה,F,Jewish,92
מרסל,M,Muslim,92
ולדיסלבה,F,Jewish,92
סוהאד,F,Druze,91
ג'אנית,F,Christian-Arab,91
רוויטל,F,Jewish,91
רובין,M,Muslim,91
זכריה,M,Muslim,91
שבי,M,Jewish,91
אשטו,M,Jewish,91
עמיהוד,M,Jewish,91
ג'וליאנה,F,Muslim,91
זעלדא,F,Jewish,91
מוג'אהד,M,Muslim,91
מנסור,M,Christian-Arab,91
מתיא,M,Jewish,91
מטל,F,Jewish,91
יקוט,F,Muslim,91
גון,F,Jewish,91
צבא,F,Muslim,91
כאמלה,F,Druze,91
קאותר,F,Muslim,91
אלקס,M,Jewish,91
סוהיר,F,Druze,91
גדיר,F,Christian-Arab,91
איילול,F,Muslim,91
מבורך,M,Jewish,91
יאן,M,Druze,91
ג'ראם,F,Muslim,91
איתי,F,Jewish,91
מארי,F,Muslim,91
יצהר,M,Jewish,91
וצ'סלב,M,Jewish,91
מתאו,M,Jewish,91
מתוקה,F,Jewish,91
נאיה,F,Druze,91
רפיק,M,Christian-Arab,91
בברט,M,Jewish,91
אנגואץ',F,Jewish,91
ויוי,F,Jewish,91
ריזק,M,Christian-Arab,91
אבבו,F,Jewish,90
פוואז,M,Muslim,90
סנדר,M,Jewish,90
ואלרי,F,Jewish,90
עהוד,F,Muslim,90
ג'וליאנה,F,Christian-Arab,90
ג'ורי,F,Christian-Arab,90
דוריס,F,Christian-Arab,90
ליחי,M,Jewish,90
עדנאן,M,Druze,90
אמית,F,Jewish,90
מריו,M,Christian-Arab,90
שוכרי,M,Christian-Arab,90
ריפעת,M,Muslim,90
סי,F,Jewish,90
אספו,F,Jewish,90
סטבן,M,Jewish,90
ולדלן,M,Jewish,90
שרלין,F,Jewish,90
ג'מלאת,F,Muslim,90
דנא,F,Muslim,90
אטה,F,Jewish,90
מיטרה,F,Jewish,90
ליא,F,Christian-Arab,90
אור-יה,F,Jewish,90
ג'ניס,F,Jewish,90
ברדלי,M,Jewish,90
וולטר,M,Jewish,90
יטי,F,Jewish,90
ייטב,M,Jewish,90
ויקטורי,F,Jewish,90
מהרט,M,Jewish,90
דלי,F,Jewish,90
עמאר,M,Druze,90
וופא,M,Muslim,90
פיירוז,F,Muslim,90
זאהר,M,Christian-Arab,90
מרון,M,Christian-Arab,90
רשה,F,Muslim,90
יהלומה,F,Jewish,90
טלהון,M,Jewish,90
נאדין,F,Jewish,90
ווארד,M,Muslim,89
רימאס,F,Druze,89
דרסו,M,Jewish,89
כאזם,M,Muslim,89
קרן-אור,F,Jewish,89
אלרם,M,Jewish,89
שיח'ה,F,Muslim,89
נס,F,Jewish,89
וג'יהה,F,Muslim,89
גוואן,F,Muslim,89
עמיצור,M,Jewish,89
אולי,M,Jewish,89
רדאד,M,Muslim,89
קוטי,F,Jewish,89
תלם,M,Jewish,89
ארלין,F,Jewish,89
דיקרה,F,Muslim,89
ראנה,F,Druze,89
ארמן,M,Jewish,89
סיסי,F,Jewish,89
מיאס,F,Muslim,89
בריז'יט,F,Jewish,89
חאנן,F,Muslim,89
נגם,F,Druze,89
מורן,M,Druze,89
ח'יר,F,Muslim,88
ג'אנה,F,Jewish,88
נזיר,M,Muslim,88
רונלי,F,Jewish,88
רמונה,F,Jewish,88
אלק,M,Jewish,88
נוהאד,M,Druze,88
גוליט,F,Jewish,88
מרבי,M,Jewish,88
גבור,M,Jewish,88
גאבי,M,Christian-Arab,88
פאניה,F,Jewish,88
ראות,F,Jewish,88
נאיף,M,Christian-Arab,88
רסל,F,Muslim,88
קייס,M,Druze,88
סונא,F,Muslim,88
שובאל,M,Jewish,88
רדיר,F,Muslim,88
לביב,M,Druze,88
רוזין,F,Muslim,88
ויולית,F,Christian-Arab,88
נגוסה,M,Jewish,88
זוהרית,F,Jewish,88
זושא,M,Jewish,88
אנייש,F,Jewish,88
מינדה,F,Jewish,88
כלב,M,Jewish,88
רחים,M,Muslim,88
עלם,M,Druze,88
הלא,F,Druze,88
אנגודאי,F,Jewish,88
אורעד,M,Jewish,88
אלפרד,M,Christian-Arab,88
גמאלאת,F,Muslim,88
סיריל,M,Jewish,87
הרנן,M,Jewish,87
אילין,F,Jewish,87
סאדן,M,Muslim,87
זלפה,F,Jewish,87
ח'דיגה,F,Muslim,87
לגין,F,Muslim,87
עינאד,M,Muslim,87
סוהד,F,Muslim,87
מלך,M,Jewish,87
פוז,F,Muslim,87
סול,F,Druze,87
סוריה,F,Jewish,87
ואסף,M,Muslim,87
אליאן,F,Druze,87
מרינה,F,Muslim,87
נגם,F,Christian-Arab,87
טופז,M,Jewish,87
אלחנדרה,F,Jewish,87
אליאנה,F,Christian-Arab,87
אדיט,F,Jewish,87
ניה,F,Jewish,87
רדיה,F,Muslim,87
ניוין,F,Muslim,87
כמיליה,F,Muslim,87
אעתמאד,F,Muslim,87
שאדן,F,Christian-Arab,87
אלבטינה,F,Jewish,87
קריסטינה,F,Christian-Arab,87
עבלה,F,Christian-Arab,87
נג'אח,F,Druze,87
פריידל,F,Jewish,87
סראב,F,Muslim,87
זאידה,F,Muslim,87
נסטור,M,Jewish,87
מדינה,F,Jewish,87
סרה,F,Muslim,87
חלדון,M,Muslim,86
לואיס,M,Christian-Arab,86
בת-ציון,F,Jewish,86
לויס,M,Christian-Arab,86
דגו,M,Jewish,86
סיזאר,M,Christian-Arab,86
גרמי,M,Jewish,86
תמירה,F,Jewish,86
סילבה,F,Jewish,86
רגב,M,Muslim,86
מירון,F,Jewish,86
כליל,M,Muslim,86
חנינא,M,Jewish,86
נסראללה,M,Muslim,86
אהליאב,M,Jewish,86
אורלין,F,Jewish,86
מיאה,F,Jewish,86
יאנא,F,Muslim,86
יגין,F,Muslim,86
נג'לאא,F,Muslim,86
רונד,F,Muslim,86
הרש,M,Jewish,86
הענטשא,F,Jewish,86
ג'ובראן,M,Christian-Arab,86
חיותה,F,Jewish,86
רוגר,M,Jewish,85
ג'ו,M,Jewish,85
קלוד,F,Jewish,85
עימנואל,F,Jewish,85
אליין,F,Jewish,85
סטס,M,Jewish,85
ז'קי,M,Jewish,85
ג'ולי,F,Muslim,85
סכר,M,Muslim,85
לי שי,F,Jewish,85
ברוניסלב,M,Jewish,85
חמודי,M,Druze,85
מועין,M,Christian-Arab,85
סנדוס,F,Muslim,85
זמטו,F,Jewish,85
חידר,M,Muslim,85
דביר,F,Jewish,85
טייב,M,Muslim,85
רוא,F,Muslim,85
גנטו,M,Jewish,85
מרסי,F,Jewish,85
שורוק,F,Druze,85
קדן,F,Jewish,85
דסטה,F,Jewish,85
שאמס,F,Muslim,85
כוכי,F,Jewish,85
טבע,F,Jewish,85
הזאר,F,Druze,85
יגל,F,Jewish,85
בושרא,F,Druze,85
מירי,F,Christian-Arab,85
סמן,M,Jewish,85
דון,F,Jewish,85
תוריא,F,Muslim,85
דודי,F,Jewish,85
אלדר,F,Jewish,85
נידאל,F,Muslim,84
פנטאנש,F,Jewish,84
ראסיל,F,Muslim,84
חוני,M,Jewish,84
חמוד,M,Muslim,84
אביגאל,F,Jewish,84
ויטל,F,Jewish,84
אליאסף,M,Jewish,84
קטמה,F,Jewish,84
ניגמה,F,Muslim,84
חרב,M,Muslim,84
באהר,M,Muslim,84
סלינה,F,Jewish,84
ג'ואן,M,Druze,84
סלמאן,M,Muslim,84
סוזאנה,F,Jewish,84
טלאל,M,Druze,84
זאדה,F,Muslim,84
אומימה,F,Christian-Arab,84
ארם,M,Jewish,84
לאונורה,F,Jewish,84
רוועה,F,Muslim,84
אוביי,M,Muslim,84
קסהון,M,Jewish,84
סטוארט,M,Jewish,84
אסל,F,Muslim,84
זהיר,M,Muslim,84
ראדה,F,Jewish,84
זינה,F,Christian-Arab,84
ג'יהאד,M,Christian-Arab,84
מירב,M,Jewish,84
ניבר,F,Jewish,84
תירצה,F,Jewish,84
קורי,M,Jewish,84
רג'ין,F,Jewish,84
מאמיי,F,Jewish,84
אשרה,F,Jewish,84
אסממאו,M,Jewish,84
עמרן,M,Jewish,84
אנשראח,F,Druze,84
ג'רלד,M,Jewish,84
הולי,F,Jewish,84
הדי,M,Jewish,84
גיל-עד,M,Jewish,84
אדירה,F,Jewish,84
פאהד,M,Muslim,84
כוותר,F,Muslim,84
חוי,F,Jewish,83
משכית,F,Jewish,83
לביב,M,Christian-Arab,83
גומאן,F,Muslim,83
מריאם,F,Muslim,83
נואף,M,Druze,83
מיאסר,F,Muslim,83
קלמנט,M,Jewish,83
אלינה,F,Muslim,83
עימנואל,M,Jewish,83
שריהן,F,Muslim,83
זאבי,M,Jewish,83
חכמת,M,Muslim,83
עינב,F,Druze,83
נג'דיה,F,Muslim,83
רפי,M,Muslim,83
פרימט,F,Jewish,83
אולנה,F,Jewish,83
גבריל,M,Jewish,83
מנואלה,F,Jewish,83
ג'ומאנה,F,Druze,83
אורגד,M,Jewish,83
וחידה,F,Muslim,83
נאאלה,F,Muslim,83
ג'וליאנה,F,Jewish,83
איליין,F,Jewish,83
מורן,F,Muslim,83
בריינדי,F,Jewish,83
ברקאי,M,Jewish,83
אלביר,M,Christian-Arab,83
מקסימיליאן,M,Jewish,83
ראגד,F,Muslim,83
פרג',M,Druze,83
אנטוניו,M,Christian-Arab,83
מאליק,M,Muslim,83
מנאהל,F,Muslim,83
דרג'ה,M,Jewish,83
שיחה,F,Muslim,83
סאיב,M,Muslim,83
עאיש,M,Muslim,82
אוריון,M,Jewish,82
סלביק,M,Jewish,82
טרה,F,Jewish,82
סלמא,F,Christian-Arab,82
סוכינה,F,Muslim,82
תורכיה,F,Muslim,82
סאמא,F,Muslim,82
דני,M,Druze,82
תהל,M,Jewish,82
אביקם,M,Jewish,82
בוסינה,F,Muslim,82
נצר,M,Muslim,82
לוסיאן,M,Jewish,82
קריסטין,F,Jewish,82
ג'נאן,F,Christian-Arab,82
בדרייה,F,Muslim,82
מלחם,M,Druze,82
ג'קלין,F,Muslim,82
עזיז,M,Jewish,82
והבי,M,Muslim,82
סאנדי,F,Christian-Arab,82
יואש,M,Jewish,82
דמקה,M,Jewish,82
קיארה,F,Jewish,82
מירן,M,Jewish,82
אלון,F,Jewish,82
מינו,F,Jewish,82
פלורין,F,Jewish,82
מהירה,F,Muslim,82
ארד,F,Jewish,82
טימור,F,Jewish,82
אמית,M,Jewish,82
זכי,M,Jewish,82
איילין,F,Muslim,82
שהלה,F,Jewish,82
ח'ולה,F,Muslim,82
הדא,F,Muslim,81
ג'קלין,F,Christian-Arab,81
