name,sex,sector,total
דניאלה,F,Jewish,9360
חסן,M,Muslim,9303
גל,F,Jewish,9252
חגית,F,Jewish,9245
מור,F,Jewish,9238
אוריאל,M,Jewish,9226
ענבל,F,Jewish,9212
איגור,M,Jewish,9050
הלל,F,Jewish,9049
עליזה,F,Jewish,8939
מיקה,F,Jewish,8833
ורד,F,Jewish,8799
אופק,M,Jewish,8741
אמל,F,Muslim,8723
זיו,M,Jewish,8645
יגאל,M,Jewish,8635
שירן,F,Jewish,8632
מוסטפא,M,Muslim,8533
עבדאללה,M,Muslim,8526
לירון,F,Jewish,8521
יסמין,F,Muslim,8487
יואל,M,Jewish,8423
שלי,F,Jewish,8420
אימאן,F,Muslim,8417
יהלי,F,Jewish,8400
אורטל,F,Jewish,8394
בר,F,Jewish,8376
אורי,F,Jewish,8350
ניתאי,M,Jewish,8335
בר,M,Jewish,8333
דביר,M,Jewish,8323
ולדימיר,M,Jewish,8192
אולגה,F,Jewish,8155
סבטלנה,F,Jewish,8152
טובה,F,Jewish,8127
ירדן,F,Jewish,8094
לינוי,F,Jewish,8068
שי,F,Jewish,8050
זהבה,F,Jewish,8014
רויטל,F,Jewish,8003
נורית,F,Jewish,8001
דרור,M,Jewish,7966
אבישג,F,Jewish,7952
עדי,M,Jewish,7950
טטיאנה,F,Jewish,7948
בת שבע,F,Jewish,7932
דמיטרי,M,Jewish,7895
אביתר,M,Jewish,7891
הלל,M,Jewish,7784
גילה,F,Jewish,7768
ענבר,F,Jewish,7767
רינה,F,Jewish,7699
אופיר,F,Jewish,7697
נטליה,F,Jewish,7671
זוהר,F,Jewish,7662
סולימאן,M,Muslim,7657
טוהר,F,Jewish,7645
איילת,F,Jewish,7640
אלחנן,M,Jewish,7636
יחיאל,M,Jewish,7611
אוהד,M,Jewish,7607
נופר,F,Jewish,7591
עופרי,F,Jewish,7537
יבגני,M,Jewish,7508
ציון,M,Jewish,7452
סופיה,F,Jewish,7417
נוי,F,Jewish,7408
אלעזר,M,Jewish,7386
מרק,M,Jewish,7383
דפנה,F,Jewish,7377
אביה,F,Jewish,7357
שגיא,M,Jewish,7329
דורית,F,Jewish,7319
ויקטוריה,F,Jewish,7301
יחזקאל,M,Jewish,7301
שרון,M,Jewish,7248
אוראל,M,Jewish,7238
רוני,M,Jewish,7225
לאוניד,M,Jewish,7198
נחמן,M,Jewish,7155
שאול,M,Jewish,7142
יוליה,F,Jewish,7133
אדיר,M,Jewish,7115
סאלח,M,Muslim,7108
ליטל,F,Jewish,7089
ירין,M,Jewish,7078
ינון,M,Jewish,7066
זאב,M,Jewish,7027
אליה,F,Jewish,6929
לילך,F,Jewish,6867
חוסין,M,Muslim,6845
שיראל,F,Jewish,6811
כפיר,M,Jewish,6781
ינאי,M,Jewish,6780
אמילי,F,Jewish,6771
יורם,M,Jewish,6757
תמיר,M,Jewish,6742
ליאן,F,Muslim,6735
עומר,F,Jewish,6731
אבישי,M,Jewish,6709
אלירן,M,Jewish,6655
נפתלי,M,Jewish,6645
אביאל,M,Jewish,6643
אביבה,F,Jewish,6628
יוסי,M,Jewish,6620
אורנה,F,Jewish,6569
בועז,M,Jewish,6546
שמחה,F,Jewish,6509
עודד,M,Jewish,6502
גפן,F,Jewish,6497
יותם,M,Jewish,6484
גילי,F,Jewish,6422
ברק,M,Jewish,6405
תום,M,Jewish,6401
סימה,F,Jewish,6317
מוסא,M,Muslim,6301
יפעת,F,Jewish,6293
ניב,M,Jewish,6291
רותם,M,Jewish,6287
חלא,F,Muslim,6279
דב,M,Jewish,6260
עינת,F,Jewish,6214
עוז,M,Jewish,6174
גלי,F,Jewish,6106
סיגל,F,Jewish,6102
רז,M,Jewish,6082
לירן,M,Jewish,6067
ג'נא,F,Muslim,6038
אימרי,M,Jewish,6029
ליאורה,F,Jewish,6014
נריה,M,Jewish,6006
שי-לי,F,Jewish,5938
יורי,M,Jewish,5927
אמנה,F,Muslim,5915
יוכבד,F,Jewish,5901
עלאא,M,Muslim,5860
שירלי,F,Jewish,5854
מריה,F,Jewish,5832
שלומית,F,Jewish,5827
אורה,F,Jewish,5776
חן,M,Jewish,5770
לין,F,Muslim,5745
היבא,F,Muslim,5744
חנאן,F,Muslim,5735
זוהר,M,Jewish,5727
אושר,M,Jewish,5714
סעיד,M,Muslim,5692
יהלי,M,Jewish,5651
רום,M,Jewish,5640
סמדר,F,Jewish,5635
אהוד,M,Jewish,5563
שירי,F,Jewish,5554
אלמוג,M,Jewish,5552
רינת,F,Jewish,5537
נאוה,F,Jewish,5536
אלאא,F,Muslim,5529
ניצן,F,Jewish,5529
בניה,M,Jewish,5522
אסיל,F,Muslim,5486
בת אל,F,Jewish,5454
עמנואל,M,Jewish,5415
איליה,M,Jewish,5388
חמזה,M,Muslim,5386
שילת,F,Jewish,5380
אירית,F,Jewish,5370
ידידיה,M,Jewish,5368
אינה,F,Jewish,5366
ליהי,F,Jewish,5355
אבנר,M,Jewish,5346
מונא,F,Muslim,5342
סרגיי,M,Jewish,5329
נוה,M,Jewish,5328
אלינור,F,Jewish,5327
שלומי,M,Jewish,5325
אתי,F,Jewish,5320
אמיתי,M,Jewish,5317
ויקטור,M,Jewish,5288
יזן,M,Muslim,5218
לוי,M,Jewish,5209
חגי,M,Jewish,5202
עמוס,M,Jewish,5192
אילנית,F,Jewish,5192
שהד,F,Muslim,5183
דיאנה,F,Jewish,5152
אביב,F,Jewish,5151
מג'ד,M,Muslim,5141
רים,F,Muslim,5139
ג'מאל,M,Muslim,5137
בלה,F,Jewish,5136
אסנת,F,Jewish,5135
נבו,M,Jewish,5126
ח'ליל,M,Muslim,5103
יערה,F,Jewish,5103
יסמין,F,Jewish,5078
אביעד,M,Jewish,5075
כרם,M,Muslim,5064
נאור,M,Jewish,5058
רומן,M,Jewish,5049
שילה,M,Jewish,5028
שמחה,M,Jewish,5006
שאם,F,Muslim,4994
סארה,F,Muslim,4992
גלינה,F,Jewish,4937
רמי,M,Jewish,4930
אלונה,F,Jewish,4922
עביר,F,Muslim,4909
צביה,F,Jewish,4896
עדן,F,Muslim,4896
אסמא,F,Muslim,4893
ירדן,M,Jewish,4889
אוריה,M,Jewish,4884
אביחי,M,Jewish,4865
תמרה,F,Jewish,4855
סתיו,F,Jewish,4843
עזרא,M,Jewish,4837
שקד,M,Jewish,4836
ניקול,F,Jewish,4829
אודליה,F,Jewish,4826
פיגא,F,Jewish,4810
לירון,M,Jewish,4791
אליאב,M,Jewish,4789
בלאל,M,Muslim,4756
סיגלית,F,Jewish,4755
רוי,M,Jewish,4737
יפית,F,Jewish,4732
וליד,M,Muslim,4720
עינב,F,Jewish,4711
יחיא,M,Muslim,4707
אמנון,M,Jewish,4704
אהובה,F,Jewish,4702
אולג,M,Jewish,4685
מעיין,M,Jewish,4655
בארי,M,Jewish,4655
יהב,M,Jewish,4651
דני,M,Jewish,4620
שלו,M,Jewish,4593
מקסים,M,Jewish,4582
מישל,F,Jewish,4572
רחמים,M,Jewish,4565
לריסה,F,Jewish,4563
זינב,F,Muslim,4530
סהר,M,Jewish,4519
לי,F,Jewish,4488
אדוארד,M,Jewish,4487
אילת,F,Jewish,4465
אריק,M,Jewish,4462
אורין,F,Jewish,4458
אלכסנדרה,F,Jewish,4450
אלברט,M,Jewish,4434
אריאלה,F,Jewish,4411
אדוה,F,Jewish,4402
אלין,F,Jewish,4394
עילי,M,Jewish,4383
עדן,M,Jewish,4382
חנין,F,Muslim,4375
שפרה,F,Jewish,4362
ראמי,M,Muslim,4359
סאמי,M,Muslim,4357
עימאד,M,Muslim,4335
קארין,F,Jewish,4322
גליה,F,Jewish,4315
ליעד,M,Jewish,4314
גדעון,M,Jewish,4251
אימאן,M,Muslim,4242
מרגלית,F,Jewish,4221
מנאל,F,Muslim,4219
עדנה,F,Jewish,4208
שון,M,Jewish,4172
אלמה,F,Jewish,4163
שרה,F,Muslim,4155
אסראא,F,Muslim,4151
מירי,F,Jewish,4142
עאישה,F,Muslim,4110
פאדי,M,Muslim,4103
נינה,F,Jewish,4086
לילה,F,Muslim,4074
אלינה,F,Jewish,4056
תאיר,F,Jewish,4046
רחלי,F,Jewish,4042
הדיל,F,Muslim,4018
ליאב,M,Jewish,4014
ביאן,F,Muslim,3981
ארבל,F,Jewish,3981
קורל,F,Jewish,3973
לירז,F,Jewish,3973
כרים,M,Muslim,3972
מנשה,M,Jewish,3952
נחום,M,Jewish,3947
כרמל,F,Jewish,3944
עודאי,M,Muslim,3941
הודא,F,Muslim,3939
אמירה,F,Muslim,3936
נור,M,Muslim,3919
מלאכי,M,Jewish,3905
וופא,F,Muslim,3886
עדינה,F,Jewish,3884
הילי,F,Jewish,3884
אווה,F,Jewish,3880
טארק,M,Muslim,3880
גריגורי,M,Jewish,3869
אנס,M,Muslim,3867
אושרי,M,Jewish,3859
רהף,F,Muslim,3854
איליי,M,Jewish,3852
כמאל,M,Muslim,3841
יקיר,M,Jewish,3828
שאדי,M,Muslim,3823
שוהם,F,Jewish,3813
גד,M,Jewish,3813
סנא,F,Muslim,3812
גיטל,F,Jewish,3791
רואי,M,Jewish,3768
סמירה,F,Muslim,3732
שליו,M,Jewish,3731
אודל,F,Jewish,3711
מוראד,M,Muslim,3701
באסם,M,Muslim,3692
נילי,F,Jewish,3660
יבגניה,F,Jewish,3641
אלין,F,Muslim,3625
מריה,F,Muslim,3625
ג'וד,M,Muslim,3616
לידור,M,Jewish,3606
דריה,F,Jewish,3606
רונה,F,Jewish,3586
יוחאי,M,Jewish,3582
יסכה,F,Jewish,3572
חוסאם,M,Muslim,3569
מרווה,F,Muslim,3568
אמין,M,Muslim,3544
בת,F,Jewish,3538
ליאל,M,Jewish,3529
אלרואי,M,Jewish,3525
דועאא,F,Muslim,3504
זיו,F,Jewish,3499
נסרין,F,Muslim,3492
עמיחי,M,Jewish,3467
איאד,M,Muslim,3463
אוסאמה,M,Muslim,3459
זיאד,M,Muslim,3457
נמרוד,M,Jewish,3455
אוריאן,F,Jewish,3452
מירה,F,Jewish,3437
רותי,F,Jewish,3436
חנן,M,Jewish,3431
ראם,M,Jewish,3418
ספא,F,Muslim,3404
אנאל,F,Jewish,3404
באסל,M,Muslim,3394
רוית,F,Jewish,3378
סמיר,M,Muslim,3374
אליאור,M,Jewish,3369
שירין,F,Muslim,3368
עקיבא,M,Jewish,3361
שניאור,M,Jewish,3360
כרמלה,F,Jewish,3359
נאסר,M,Muslim,3357
זיוה,F,Jewish,3355
סמר,M,Muslim,3350
איאת,F,Muslim,3325
איה,F,Jewish,3324
זינה,F,Muslim,3322
ניצן,M,Jewish,3317
הללי,F,Jewish,3307
אלכסיי,M,Jewish,3298
ליהיא,F,Jewish,3295
רנא,F,Muslim,3291
מרגריטה,F,Jewish,3285
תאלא,F,Muslim,3284
שובל,F,Jewish,3282
ביסאן,F,Muslim,3275
עדנאן,M,Muslim,3269
איסמאיל,M,Muslim,3262
עאדל,M,Muslim,3250
דימא,F,Muslim,3236
וסים,M,Muslim,3231
צופיה,F,Jewish,3194
לב,M,Jewish,3189
אילון,M,Jewish,3188
רוזה,F,Jewish,3182
לינא,F,Muslim,3175
וסאם,M,Muslim,3173
כרמית,F,Jewish,3163
אשרף,M,Muslim,3159
פלג,M,Jewish,3158
ליאם,F,Jewish,3150
שרונה,F,Jewish,3149
מיכאלה,F,Jewish,3142
יגל,M,Jewish,3141
זיין,M,Muslim,3123
יולי,F,Jewish,3112
ג'ורי,F,Muslim,3104
עמאר,M,Muslim,3101
ארקדי,M,Jewish,3100
עובדיה,M,Jewish,3071
אחלאם,F,Muslim,3070
רננה,F,Jewish,3069
רוברט,M,Jewish,3035
לודמילה,F,Jewish,3030
לילי,F,Jewish,3021
נדין,F,Muslim,3016
קוסאי,M,Muslim,3010
פארס,M,Muslim,3006
מהדי,M,Muslim,3005
אושרת,F,Jewish,3001
פבל,M,Jewish,2997
הגר,F,Jewish,2991
נדא,F,Muslim,2989
נאדיה,F,Muslim,2976
דין,M,Jewish,2975
אלמוג,F,Jewish,2962
חדוה,F,Jewish,2958
מור,M,Jewish,2947
סאלם,M,Muslim,2933
ליאו,M,Jewish,2932
סלים,M,Muslim,2923
נורה,F,Muslim,2921
מלי,F,Jewish,2915
עאמר,M,Muslim,2913
אמאני,F,Muslim,2905
מוהנד,M,Muslim,2903
אמונה,F,Jewish,2902
קרין,F,Jewish,2902
שמשון,M,Jewish,2900
סלאח,M,Muslim,2900
מלאק,M,Muslim,2897
ריאן,M,Muslim,2893
סגא,F,Muslim,2878
אליס,F,Jewish,2876
רימא,F,Muslim,2861
בני,M,Jewish,2859
פולינה,F,Jewish,2853
עמרם,M,Jewish,2844
גולן,M,Jewish,2835
סמר,F,Muslim,2825
סמאח,F,Muslim,2824
צחי,M,Jewish,2822
מראם,F,Muslim,2819
מהא,F,Muslim,2809
פרידה,F,Jewish,2803
אלימלך,M,Jewish,2801
יפתח,M,Jewish,2797
אליאס,M,Christian-Arab,2795
מנאר,F,Muslim,2786
מרי,F,Jewish,2785
עליה,F,Muslim,2783
רואן,F,Muslim,2778
רוחמה,F,Jewish,2775
בראאה,F,Muslim,2770
מוטי,M,Jewish,2770
איהאם,M,Muslim,2768
